County,FIPS Text,Marijuana,Ecstasy,Methamphetamine,Cocaine,Heroin,Opioid,Oxycontin,Prescription,Precursor,Paraphernalia
ADAIR,40001,160,0,0,1,0,0,0,2,8,0
ALFALFA,40003,12,0,1,0,0,0,0,1,0,2
ATOKA,40005,12,0,0,0,0,0,0,0,0,0
BEAVER,40007,22,0,9,9,0,0,0,0,0,0
BECKHAM,40009,9,0,2,0,0,0,0,1,0,0
BLAINE,40011,0,0,0,0,0,0,0,0,0,0
BRYAN,40013,40,1,28,10,0,0,0,0,1,0
CADDO,40015,31,0,60,8,0,0,2,0,0,0
CANADIAN,40017,205,0,37,10,2,0,5,5,2,0
CARTER,40019,28,0,112,22,0,0,0,14,0,6
CHEROKEE,40021,28,0,1,6,0,0,0,19,0,0
CHOCTAW,40023,16,0,0,0,0,0,0,1,0,0
CIMARRON,40025,11,0,1,5,0,0,0,0,0,0
CLEVELAND,40027,3337,3,532,52,80,0,12,38,35,0
COAL,40029,5,0,4,0,0,0,0,0,0,0
COMANCHE,40031,53,0,34,4,0,0,0,1,6,10
COTTON,40033,2,0,0,0,0,0,0,0,0,0
CRAIG,40035,52,0,1,0,0,0,0,4,2,0
CREEK,40037,2,0,3,0,0,0,0,2,1,0
CUSTER,40039,32,0,1,0,0,0,1,5,0,0
DELAWARE,40041,42,0,41,1,0,0,3,8,0,0
DEWEY,40043,3,0,5,1,0,0,0,0,0,0
ELLIS,40045,4,0,0,0,0,0,0,0,0,0
GARFIELD,40047,103,2,130,2,0,0,0,4,5,1
GARVIN,40049,46,1,154,30,0,0,0,7,0,0
GRADY,40051,35,0,46,0,0,0,0,11,2,0
GRANT,40053,4,0,0,0,0,0,0,0,0,0
GREER,40055,1,0,1,0,0,0,0,1,0,0
HARMON,40057,2,0,0,1,0,0,0,0,0,0
HARPER,40059,12,0,4,5,0,0,0,0,0,0
HASKELL,40061,13,0,0,1,0,0,0,1,0,0
HUGHES,40063,38,0,26,0,0,0,1,1,0,0
JACKSON,40065,1,0,1,1,0,0,0,0,0,0
JEFFERSON,40067,2,0,1,0,0,0,0,1,0,0
JOHNSTON,40069,12,0,7,0,0,0,1,1,0,0
KAY,40071,33,0,58,16,0,0,0,1,2,0
KINGFISHER,40073,1,0,7,2,0,0,1,2,0,0
KIOWA,40075,3,0,0,25,0,0,0,0,0,0
LATIMER,40077,23,0,2,0,0,0,2,4,0,0
LE FLORE,40079,74,0,65,2,1,0,6,2,0,0
LINCOLN,40081,13,0,0,0,0,0,0,1,1,0
LOGAN,40083,44,0,9,4,0,0,0,5,4,0
LOVE,40085,22,0,4,0,0,0,2,0,0,1
MAJOR,40093,6,0,3,0,0,0,0,4,1,0
MARSHALL,40095,22,0,26,2,0,0,0,0,0,0
MAYES,40097,24,0,18,0,0,0,0,2,2,0
MCCLAIN,40087,17,0,1,0,0,0,0,10,0,0
MCCURTAIN,40089,22,0,4,0,0,0,0,0,0,0
MCINTOSH,40091,8,0,2,1,0,0,0,2,0,0
MURRAY,40099,22,0,55,0,0,0,5,2,0,0
MUSKOGEE,40101,1,0,2,3,0,0,0,6,0,0
NOBLE,40103,0,0,6,0,0,0,0,1,0,0
NOWATA,40105,19,0,1,14,0,0,0,0,0,0
OKFUSKEE,40107,10,0,0,0,0,0,0,0,0,0
OKLAHOMA,40109,1201,35,617,1036,52,0,279,826,36,0
OKMULGEE,40111,6,0,0,0,0,0,0,4,0,0
OSAGE,40113,32,0,6,1,0,0,0,6,0,0
OTTAWA,40115,45,0,32,9,0,0,8,3,0,0
PAWNEE,40117,22,0,12,1,0,0,2,2,2,0
PAYNE,40119,166,1,56,28,2,0,6,31,6,0
PITTSBURG,40121,35,0,24,2,0,0,2,15,1,1
PONTOTOC,40123,73,2,91,16,1,0,3,1,1,0
POTTAWATOMIE,40125,17,0,7,6,0,0,0,17,1,0
PUSHMATAHA,40127,344,0,0,0,0,0,0,0,0,1
ROGER MILLS,40129,9,0,0,0,0,0,0,0,0,0
ROGERS,40131,36,0,5,0,0,0,0,12,2,2
SEMINOLE,40133,15,0,18,0,0,0,0,2,0,0
SEQUOYAH,40135,62,0,1,1,0,0,0,3,1,0
STEPHENS,40137,17,0,2,1,0,0,0,10,0,0
TEXAS,40139,53,0,44,58,1,0,1,0,0,0
TILLMAN,40141,38,0,0,0,0,0,0,0,0,0
TULSA,40143,791,0,132,5,0,0,5,751,8,1
WAGONER,40145,9,0,3,5,0,0,0,12,0,0
WASHINGTON,40147,17,0,9,4,0,0,0,5,0,1
WASHITA,40149,12,0,7,0,0,0,0,0,0,0
WOODS,40151,49,0,17,0,0,0,1,0,0,1
WOODWARD,40153,93,0,200,20,0,0,8,13,0,0
