County,FIPS Text,Marijuana,Ecstasy,Methamphetamine,Cocaine,Heroin,Opioid,Oxycontin,Prescription,Precursor,Paraphernalia
ADAIR,40001,160,0,0,1,0,0,0,2,8,0
ALFALFA,40003,12,0,6,0,0,0,0,1,0,1
ATOKA,40005,12,0,1,0,0,0,0,0,0,0
BEAVER,40007,15,0,16,3,0,0,0,0,0,0
BECKHAM,40009,8,0,5,0,0,0,0,1,0,0
BLAINE,40011,0,0,0,0,0,0,0,0,0,0
BRYAN,40013,34,1,174,9,0,0,0,0,2,0
CADDO,40015,7,0,29,6,0,0,0,0,2,0
CANADIAN,40017,151,0,71,0,0,0,3,5,3,0
CARTER,40019,18,0,48,0,0,0,0,14,0,1
CHEROKEE,40021,28,0,38,6,0,0,0,19,0,0
CHOCTAW,40023,15,0,0,0,0,0,0,1,0,0
CIMARRON,40025,11,0,2,0,0,0,0,0,0,0
CLEVELAND,40027,3313,3,535,54,79,0,11,38,35,0
COAL,40029,4,0,4,0,0,0,0,0,0,0
COMANCHE,40031,46,0,29,4,0,0,0,1,7,10
COTTON,40033,1,0,1,0,0,0,0,0,0,0
CRAIG,40035,52,0,5,0,0,0,0,4,2,0
CREEK,40037,2,0,19,0,0,0,0,2,4,0
CUSTER,40039,19,0,5,0,0,0,0,5,1,0
DELAWARE,40041,23,0,67,1,0,0,1,8,1,0
DEWEY,40043,3,0,28,1,0,0,0,0,0,0
ELLIS,40045,4,0,6,0,0,0,0,0,0,0
GARFIELD,40047,93,0,96,1,0,0,0,4,17,0
GARVIN,40049,44,1,162,30,0,0,0,7,0,0
GRADY,40051,20,0,78,0,0,0,0,11,2,0
GRANT,40053,4,0,0,0,0,0,0,0,0,0
GREER,40055,1,0,14,0,0,0,0,1,0,0
HARMON,40057,2,0,0,1,0,0,0,0,0,0
HARPER,40059,8,0,0,0,0,0,0,0,0,0
HASKELL,40061,11,0,49,1,0,0,0,1,0,0
HUGHES,40063,32,0,40,0,0,0,1,1,0,0
JACKSON,40065,1,0,4,0,0,0,0,0,1,0
JEFFERSON,40067,0,0,8,0,0,0,0,1,0,0
JOHNSTON,40069,10,0,1,0,0,0,1,1,0,0
KAY,40071,18,0,77,4,0,0,0,1,5,0
KINGFISHER,40073,1,0,3,0,0,0,1,2,0,0
KIOWA,40075,3,0,0,25,0,0,0,0,0,0
LATIMER,40077,22,0,39,0,0,0,2,4,0,0
LE FLORE,40079,73,0,194,2,1,0,5,2,0,0
LINCOLN,40081,13,0,1,0,0,0,0,1,1,0
LOGAN,40083,42,0,42,2,0,0,0,5,2,0
LOVE,40085,21,0,12,0,0,0,0,0,0,0
MAJOR,40093,2,0,2,0,0,0,0,4,1,0
MARSHALL,40095,19,0,113,1,0,0,0,0,0,0
MAYES,40097,24,0,19,0,0,0,0,2,2,0
MCCLAIN,40087,17,0,12,0,0,0,0,10,0,0
MCCURTAIN,40089,22,0,4,0,0,0,0,0,0,0
MCINTOSH,40091,8,0,10,1,0,0,0,2,0,0
MURRAY,40099,14,0,65,0,0,0,5,2,0,0
MUSKOGEE,40101,1,0,14,2,0,0,0,6,4,0
NOBLE,40103,0,0,3,0,0,0,0,1,0,0
NOWATA,40105,19,0,9,14,0,0,0,0,0,0
OKFUSKEE,40107,9,0,18,0,0,0,0,0,0,0
OKLAHOMA,40109,762,4,983,324,9,0,204,828,39,0
OKMULGEE,40111,6,0,10,0,0,0,0,4,3,0
OSAGE,40113,30,0,42,1,0,0,0,6,0,0
OTTAWA,40115,38,0,85,9,0,0,8,3,0,0
PAWNEE,40117,19,0,107,0,0,0,2,2,3,0
PAYNE,40119,156,1,202,22,1,0,6,31,10,3
PITTSBURG,40121,25,0,157,1,0,0,2,15,3,1
PONTOTOC,40123,29,0,136,0,0,0,3,1,1,0
POTTAWATOMIE,40125,14,0,27,2,0,0,0,17,1,0
PUSHMATAHA,40127,344,0,2,0,0,0,0,0,0,0
ROGER MILLS,40129,8,0,1,0,0,0,0,0,0,0
ROGERS,40131,36,0,26,4,0,0,0,12,32,2
SEMINOLE,40133,11,0,19,0,0,0,0,2,0,0
SEQUOYAH,40135,62,0,1,1,0,0,0,3,1,0
STEPHENS,40137,13,0,15,0,0,0,0,10,0,0
TEXAS,40139,14,0,18,14,1,0,1,0,0,0
TILLMAN,40141,36,0,0,0,0,0,0,0,3,0
TULSA,40143,788,0,571,4,0,0,4,752,23,0
WAGONER,40145,0,0,44,3,0,0,0,12,0,0
WASHINGTON,40147,13,0,85,3,0,0,0,5,0,1
WASHITA,40149,10,0,3,0,0,0,0,0,0,0
WOODS,40151,8,0,22,0,0,0,0,0,1,0
WOODWARD,40153,37,0,253,15,0,0,0,13,0,0
