County,FIPS Text,Marijuana,Ecstasy,Methamphetamine,Cocaine,Heroin,Opioid,Oxycontin,Prescription,Precursor,Paraphernalia
ADAIR,40001,292,0,53,1,0,0,4,38,24,1278
ALFALFA,40003,171,0,9,0,0,0,0,16,5,372
ATOKA,40005,403,0,1,0,0,0,0,22,4,1008
BEAVER,40007,315,0,101,25,3,0,0,9,1,363
BECKHAM,40009,170,0,16,1,0,0,0,14,3,1622
BLAINE,40011,20,0,0,0,0,0,0,36,0,701
BRYAN,40013,1749,6,1728,95,18,0,37,193,43,3561
CADDO,40015,780,1,375,46,3,0,3,33,23,1248
CANADIAN,40017,1425,10,975,105,20,0,18,20,5,3089
CARTER,40019,2195,1,1091,91,4,0,24,69,2,2965
CHEROKEE,40021,927,0,7,6,0,0,0,74,78,3447
CHOCTAW,40023,461,0,15,0,0,0,0,118,5,1210
CIMARRON,40025,118,0,30,7,2,0,0,2,0,326
CLEVELAND,40027,5411,3,610,69,84,0,13,82,96,5854
COAL,40029,356,0,19,1,0,0,0,70,9,860
COMANCHE,40031,350,1,219,99,1,0,1,7,40,3116
COTTON,40033,334,0,235,21,1,0,2,6,0,839
CRAIG,40035,1063,1,345,15,0,0,0,46,16,1488
CREEK,40037,185,0,24,1,0,0,0,44,46,2130
CUSTER,40039,1326,0,17,8,0,0,1,11,9,2091
DELAWARE,40041,885,0,387,6,0,0,10,22,17,1382
DEWEY,40043,168,0,131,10,0,0,0,11,0,261
ELLIS,40045,15,0,0,0,0,0,0,18,0,123
GARFIELD,40047,435,0,663,21,3,0,0,32,13,2508
GARVIN,40049,613,1,385,57,0,0,2,120,53,1438
GRADY,40051,693,0,548,0,0,0,0,13,8,2297
GRANT,40053,104,0,19,0,0,0,0,12,0,216
GREER,40055,110,0,17,0,0,0,0,15,0,245
HARMON,40057,30,0,0,1,0,0,0,4,0,75
HARPER,40059,126,0,27,0,0,0,0,1,3,236
HASKELL,40061,285,0,227,10,2,0,0,74,42,1269
HUGHES,40063,362,0,246,0,0,0,4,28,1,579
JACKSON,40065,60,0,15,1,0,0,0,5,1,787
JEFFERSON,40067,168,0,20,0,0,0,1,10,5,253
JOHNSTON,40069,537,0,181,1,0,0,1,32,4,683
KAY,40071,988,1,1158,60,2,0,7,83,5,2158
KINGFISHER,40073,327,0,225,20,6,0,7,6,0,701
KIOWA,40075,11,0,5,25,0,0,0,67,6,624
LATIMER,40077,1062,0,444,6,1,0,7,79,3,1410
LE FLORE,40079,1761,0,1880,21,2,0,59,126,32,3033
LINCOLN,40081,529,0,2,0,0,0,0,3,18,1359
LOGAN,40083,933,4,332,86,9,0,16,88,15,1986
LOVE,40085,957,0,516,34,0,0,1,40,6,1291
MAJOR,40093,271,0,129,0,0,0,1,35,1,457
MARSHALL,40095,565,0,244,2,0,0,0,42,7,1264
MAYES,40097,1040,0,33,0,0,0,0,89,37,2335
MCCLAIN,40087,758,0,171,10,5,0,0,19,12,2601
MCCURTAIN,40089,1635,0,79,11,0,0,0,260,23,2410
MCINTOSH,40091,411,0,34,5,0,0,0,36,5,1441
MURRAY,40099,531,1,438,11,5,0,11,14,3,1135
MUSKOGEE,40101,515,0,147,54,0,0,1,223,57,3492
NOBLE,40103,275,0,15,1,1,0,0,22,1,458
NOWATA,40105,188,0,4,14,0,0,0,18,0,829
OKFUSKEE,40107,319,1,62,3,0,0,0,33,2,428
OKLAHOMA,40109,20874,588,20279,11927,1251,0,1082,1748,687,23763
OKMULGEE,40111,845,0,0,1,0,0,0,56,18,1762
OSAGE,40113,692,0,61,7,0,0,0,22,2,2231
OTTAWA,40115,1729,3,909,31,4,0,36,32,10,2040
PAWNEE,40117,521,0,165,10,3,0,3,33,16,1101
PAYNE,40119,3534,20,1320,288,15,0,64,346,44,5611
PITTSBURG,40121,905,3,848,80,3,0,17,260,37,3091
PONTOTOC,40123,1869,2,622,18,0,0,12,10,4,781
POTTAWATOMIE,40125,614,0,210,18,0,0,1,18,18,2951
PUSHMATAHA,40127,510,0,25,1,0,0,0,68,3,633
ROGER MILLS,40129,36,0,1,0,0,0,0,4,0,124
ROGERS,40131,1238,0,31,3,0,0,0,46,31,5466
SEMINOLE,40133,417,0,25,0,0,0,0,41,8,886
SEQUOYAH,40135,1431,0,7,1,0,0,0,269,383,5920
STEPHENS,40137,429,0,80,1,0,0,0,19,4,1507
TEXAS,40139,790,2,371,149,13,0,8,31,4,1309
TILLMAN,40141,145,0,0,0,0,0,0,0,0,274
TULSA,40143,8766,0,6295,34,12,0,74,998,206,20543
WAGONER,40145,150,1,304,7,0,0,2,87,41,2662
WASHINGTON,40147,167,0,80,24,0,0,0,35,2,2012
WASHITA,40149,48,0,91,3,0,0,0,25,2,675
WOODS,40151,576,2,130,3,0,0,3,50,2,724
WOODWARD,40153,898,0,935,58,9,0,7,51,0,1486
