County,FIPS Text,Marijuana,Ecstasy,Methamphetamine,Cocaine,Heroin,Opioid,Oxycontin,Prescription,Precursor,Paraphernalia
ADAIR,40001,328,0,73,1,0,0,4,38,29,1278
ALFALFA,40003,178,0,19,0,0,0,0,16,10,373
ATOKA,40005,420,0,5,0,0,0,0,22,8,1008
BEAVER,40007,334,0,137,38,3,0,0,9,5,363
BECKHAM,40009,205,0,32,7,0,0,0,14,42,1623
BLAINE,40011,20,0,0,0,0,0,0,36,4,701
BRYAN,40013,1919,8,2135,125,18,0,37,193,52,3561
CADDO,40015,852,1,480,59,3,0,6,33,38,1248
CANADIAN,40017,1864,17,1219,160,25,0,25,20,48,3089
CARTER,40019,2422,1,1340,118,4,0,24,69,11,2971
CHEROKEE,40021,1023,0,44,7,0,0,0,74,101,3463
CHOCTAW,40023,485,0,18,0,0,0,0,118,6,1210
CIMARRON,40025,141,0,31,17,2,0,0,2,0,326
CLEVELAND,40027,5935,9,726,94,100,0,19,82,166,5855
COAL,40029,366,0,22,1,0,0,0,74,11,860
COMANCHE,40031,370,1,299,114,1,0,1,7,67,3121
COTTON,40033,344,0,241,22,1,0,3,6,1,839
CRAIG,40035,1210,1,393,30,5,0,0,46,28,1488
CREEK,40037,211,0,47,1,0,0,0,44,123,2130
CUSTER,40039,1409,0,23,9,0,0,2,11,39,2091
DELAWARE,40041,941,0,478,6,0,0,12,22,19,1382
DEWEY,40043,171,0,177,10,0,0,0,11,1,261
ELLIS,40045,16,0,6,0,0,0,0,18,1,123
GARFIELD,40047,482,8,802,40,4,0,6,35,55,2512
GARVIN,40049,703,5,568,69,0,0,4,120,59,1438
GRADY,40051,708,0,681,2,0,0,0,13,46,2297
GRANT,40053,105,0,25,0,0,0,0,12,3,216
GREER,40055,117,0,37,0,0,0,0,15,3,246
HARMON,40057,32,0,0,1,0,0,0,4,0,75
HARPER,40059,140,0,34,5,0,0,0,1,3,236
HASKELL,40061,302,0,321,10,2,0,0,74,42,1269
HUGHES,40063,393,1,312,0,0,0,4,28,1,579
JACKSON,40065,69,0,27,3,0,0,0,5,19,787
JEFFERSON,40067,170,0,31,0,0,0,1,10,6,253
JOHNSTON,40069,539,0,189,1,0,0,1,32,9,684
KAY,40071,1081,1,1441,91,2,0,8,83,127,2158
KINGFISHER,40073,330,0,253,22,6,0,7,6,2,701
KIOWA,40075,13,0,10,25,0,0,0,67,35,624
LATIMER,40077,1130,0,534,7,1,0,7,79,9,1410
LE FLORE,40079,1928,0,2209,24,2,0,60,126,40,3033
LINCOLN,40081,565,0,4,0,0,0,0,3,56,1359
LOGAN,40083,1061,6,452,123,9,0,19,90,47,1987
LOVE,40085,1005,0,524,34,0,0,3,40,6,1292
MAJOR,40093,285,0,156,0,0,0,1,35,8,457
MARSHALL,40095,584,0,376,11,0,0,0,42,7,1264
MAYES,40097,1071,0,40,1,0,0,0,89,42,2336
MCCLAIN,40087,803,1,202,16,5,0,0,19,25,2601
MCCURTAIN,40089,1660,0,81,14,0,0,0,260,23,2410
MCINTOSH,40091,422,0,47,8,0,0,0,36,10,1441
MURRAY,40099,614,2,554,20,9,0,11,14,6,1135
MUSKOGEE,40101,569,0,212,71,0,0,1,223,99,3492
NOBLE,40103,277,0,27,1,2,0,0,22,5,458
NOWATA,40105,200,0,20,16,0,0,0,19,4,829
OKFUSKEE,40107,359,1,89,6,2,0,0,33,5,428
OKLAHOMA,40109,28394,956,26879,17730,1709,0,1368,1757,1115,23763
OKMULGEE,40111,857,0,10,1,0,0,0,56,23,1762
OSAGE,40113,764,0,117,14,0,0,0,22,13,2231
OTTAWA,40115,1788,3,1044,38,5,0,37,32,22,2055
PAWNEE,40117,560,0,299,14,3,0,4,33,25,1101
PAYNE,40119,4014,27,1983,375,18,0,70,351,71,5614
PITTSBURG,40121,982,3,1081,94,3,0,18,260,84,3091
PONTOTOC,40123,2036,4,963,56,1,0,14,10,17,781
POTTAWATOMIE,40125,638,0,293,38,0,0,1,18,53,2951
PUSHMATAHA,40127,536,0,31,1,0,0,0,68,3,634
ROGER MILLS,40129,37,0,5,0,0,0,0,4,6,124
ROGERS,40131,1303,0,100,7,0,0,0,46,140,5472
SEMINOLE,40133,458,0,31,0,0,0,0,41,21,888
SEQUOYAH,40135,1728,0,117,19,0,0,0,269,422,6161
STEPHENS,40137,446,0,106,2,0,0,0,19,5,1507
TEXAS,40139,1178,2,661,291,20,0,9,31,20,1317
TILLMAN,40141,155,0,0,0,0,0,0,0,3,274
TULSA,40143,10076,3,8516,47,18,0,125,1002,418,20546
WAGONER,40145,160,1,374,11,0,0,2,87,64,2662
WASHINGTON,40147,201,0,189,39,0,0,0,36,8,2012
WASHITA,40149,58,0,103,3,0,0,0,25,54,675
WOODS,40151,690,5,231,4,0,0,4,50,36,725
WOODWARD,40153,1076,0,1373,82,9,0,16,51,0,1486
